attendance_id,student_id,class_id,month,attendance_percent
A1,S3001,C111,Sep 2024,75.1
A2,S3001,C111,Oct 2024,53.7
A3,S3001,C111,Nov 2024,91.9
A4,S3001,C111,Dec 2024,67.5
A5,S3001,C111,Jan 2025,79.1
A6,S3001,C111,Feb 2025,68.9
A7,S3002,C111,Sep 2024,79.9
A8,S3002,C111,Oct 2024,87.2
A9,S3002,C111,Nov 2024,
A10,S3002,C111,Dec 2024,66.3
A11,S3002,C111,Jan 2025,76.0
A12,S3002,C111,Feb 2025,89.7
A13,S3003,C102,Sep 2024,84.4
A14,S3003,C102,Oct 2024,52.9
A15,S3003,C102,Nov 2024,78.4
A16,S3003,C102,Dec 2024,
A17,S3003,C102,Jan 2025,68.8
A18,S3003,C102,Feb 2025,85.4
A19,S3004,C111,Sep 2024,50.8
A20,S3004,C111,Oct 2024,66.5
A21,S3004,C111,Nov 2024,54.3
A22,S3004,C111,Dec 2024,96.0
A23,S3004,C111,Jan 2025,93.8
A24,S3004,C111,Feb 2025,98.4
A25,S3005,C101,Sep 2024,82.2
A26,S3005,C101,Oct 2024,90.4
A27,S3005,C101,Nov 2024,80.6
A28,S3005,C101,Dec 2024,74.6
A29,S3005,C101,Jan 2025,91.7
A30,S3005,C101,Feb 2025,88.8
A31,S3006,C103,Sep 2024,86.7
A32,S3006,C103,Oct 2024,94.7
A33,S3006,C103,Nov 2024,96.4
A34,S3006,C103,Dec 2024,72.3
A35,S3006,C103,Jan 2025,64.1
A36,S3006,C103,Feb 2025,75.6
A37,S3007,C106,Sep 2024,54.7
A38,S3007,C106,Oct 2024,96.9
A39,S3007,C106,Nov 2024,99.2
A40,S3007,C106,Dec 2024,82.6
A41,S3007,C106,Jan 2025,87.3
A42,S3007,C106,Feb 2025,66.2
A43,S3008,C106,Sep 2024,93.3
A44,S3008,C106,Oct 2024,95.0
A45,S3008,C106,Nov 2024,53.8
A46,S3008,C106,Dec 2024,56.6
A47,S3008,C106,Jan 2025,63.0
A48,S3008,C106,Feb 2025,85.2
A49,S3009,C107,Sep 2024,59.2
A50,S3009,C107,Oct 2024,61.0
A51,S3009,C107,Nov 2024,
A52,S3009,C107,Dec 2024,69.1
A53,S3009,C107,Jan 2025,80.6
A54,S3009,C107,Feb 2025,98.8
A55,S3010,C106,Sep 2024,89.2
A56,S3010,C106,Oct 2024,77.9
A57,S3010,C106,Nov 2024,52.5
